"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"1432/1/53","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Восточно-Сибирская транспортная прокуратура","664011, г. Иркутск, ул. Карла Маркса, д. 7А, (3952) 28-0420",
"1432/1/54","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Отдел ГФС России в г. Иркутске","664003, г. Иркутск, ул. Киевская, д. 1, (3952) 33-5455",
"1432/1/55","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","МУП «Водоканал» г. Иркутска","664081, г. Иркутск, ул. Станиславского, д. 2, (3952) 21-4799",
"1432/1/56","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Якшур-Бодьинский район» Удмуртской Республики","427100, Удмуртская Республика, с. Якшур-Бодья, ул. Пушиной, д. 69, (31462) 4-1073",
"1432/1/57","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Администрация муниципального образования «Слюдянский район» Иркутской области","665904, Иркутская обл., г. Слюдянка, ул. Ржанова, д. 2, (39544) 5-1205",
"1432/1/58","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ОАО «Иркутская электросетевая компания»","664033, г. Иркутск, ул. Лермонтова, д. 257, (3952) 79-7417",
"1432/1/59","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ООО «Газпром добыча Иркутск»","664011, г. Иркутск, ул. Нижняя Набережная, д. 14, (3952) 25-5959",
"1432/1/60","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","«Аэронавигация Восточной Сибири» – филиал ФГУП «Госкорпорация по ОрВД»","664007, г Иркутск, ул. Декабрьских Событий, д. 98, (3952) 56-3529",
"1432/1/61","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ФГКУ комбинат «Иркут» Росрезерва","664014, г. Иркутск, ул. Шахтерская, д. 24, (3952) 38-6072",
"1432/1/62","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Обособленное подразделение АО «Росгеология» 
«Иркутское геофизическое подразделение»","664039, г. Иркутск, ул. Клары Цеткин, д. 9А, (3952) 48-8395",
"1432/1/63","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","АО «ИРЗ»","ООО «ЦБИ»","Администрация муниципального образования «Можгинский район»","427790, Удмуртская Республика, г. Можга, ул. Можгинская, д. 59, (34139) 3-1914",
"1432/1/64","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","1","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","Филиал ФГУП «Российская телевизионная и радиовещательная сеть» «Иркутский областной радиотелевизионный передающий центр»","664011, г. Иркутск, ул. Свердлова, д. 37, (3952) 25-8510",
"1432/1/65","18.07.2007","18.07.2019","Гром-ЗИ-4Б","Соответствует требованиям документов: РД САЗ ПЭМИН-87, ТУ","2","ООО по защите информации «Секрет-Сервис»","ООО «ЦБИ»","ООО «АЛАНС»","664007, г. Иркутск, ул. Софьи Перовской, д. 30/1, (3952) 55-9004",
